figure,panel,source_file,source_row,from,to,edge_type,edge_support,signed_balance,selection_rule
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,1,COPD,NSIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,2,COPD,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,3,MUC5B,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,4,TERT,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,5,disease_duration,NSIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,6,male_sex,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,7,older_age,NSIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,8,older_age,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,9,smoking,NSIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,10,smoking,UIP,A-B,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,11,NSIP,AE-ILD,B-C,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 3,B/C,Figure3_AEILD_bridge_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,12,UIP,AE-ILD,B-C,NA,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,1,ACPA_RF,mortality,Biomarker-outcome,54,0.8181818181818182,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,2,ACPA_RF,progression,Biomarker-outcome,38,0.6666666666666666,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,3,Fibrosis_pathway,progression,Biomarker-outcome,35,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,4,Cytokine_inflammation,progression,Biomarker-outcome,32,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
Figure 5,Main,Figure5_free_edges_pm_1980_20251231__analysis_v2_outcome_preserving_atlas.csv,5,Cytokine_inflammation,mortality,Biomarker-outcome,27,NA,Displayed network edge retained by figure-specific data-driven support thresholds.
