"term","regex","class","notes","concept_id","preferred_label","original_term","original_class","abc_role","abc_subrole","domain","concept_family","node_level","analysis_tier","atlas_layer","include_primary","primary_atlas_eligible","retain_reason","interpretation_note","regex_qc_action","corpus_hit_n","corpus_hit_pct","example_pmids"
"methotrexate","(?i:\b(?:methotrexate|MTX)\b)","drug","DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_001","methotrexate","methotrexate","drug","A","A_treatment_context","treatment_context","csDMARD","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",118,7.9,"41782975;41377348;41233344"
"leflunomide","(?i:\b(?:leflunomide|LEF)\b)","drug","DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_002","leflunomide","leflunomide","drug","A","A_treatment_context","treatment_context","csDMARD","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",17,1.14,"40004702;36394143;35472663"
"azathioprine","(?i:\b(?:azathioprine|AZA)\b)","drug","DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_003","azathioprine","azathioprine","drug","A","A_treatment_context","treatment_context","immunosuppressive_csDMARD","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",20,1.34,"41410579;40956071;40491463"
"mycophenolate","(?i:\b(?:mycophenolate(?:\s+mofetil)?|MMF)\b)","drug","DMARD; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_004","mycophenolate","mycophenolate","drug","A","A_treatment_context","treatment_context","immunosuppressive_csDMARD","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",18,1.21,"41410579;40491463;40210443"
"cyclophosphamide","(?i:\b(?:cyclophosphamide|CYC)\b)","drug","Alkylating; v2_qc: Removed standalone CPA; CYC/full term retained to avoid ambiguous short acronym.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_005","cyclophosphamide","cyclophosphamide","drug","A","A_treatment_context","treatment_context","immunosuppressive_csDMARD","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",29,1.94,"41399072;40210443;39192903"
"tacrolimus","(?i:\b(?:tacrolimus|FK[-\s]?506)\b)","drug","CNI; v2_qc: Removed standalone TAC because corpus contains CXCL11/I-TAC; full tacrolimus/FK506 retained.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_006","tacrolimus","tacrolimus","drug","A","A_treatment_context","treatment_context","calcineurin_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",11,0.74,"41185894;39901281;37821555"
"cyclosporine","(?i:\b(?:cyclosporine|ciclosporin(?:e)?|CsA|CyA)\b)","drug","CNI; v2_qc: Retained with metadata annotation.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_007","cyclosporine","cyclosporine","drug","A","A_treatment_context","treatment_context","calcineurin_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","tightened_or_merged",6,0.4,"37506503;33646447;33547781"
"tofacitinib","(?i:\b(tofacitinib)\b)","drug","JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_008","tofacitinib","tofacitinib","drug","A","A_treatment_context","treatment_context","JAK_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",10,0.67,"41624877;40280051;38007449"
"baricitinib","(?i:\b(baricitinib)\b)","drug","JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_009","baricitinib","baricitinib","drug","A","A_treatment_context","treatment_context","JAK_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",8,0.54,"41185894;39737175;37641106"
"upadacitinib","(?i:\b(upadacitinib)\b)","drug","JAK; v2_qc: Regex inline case flags normalized to a single scoped form; no semantic change intended.; v2.1_final: ABC metadata revised; treatment drugs assigned to a treatment-context layer; serology moved to upstream host phenotype; outcome components explicitly labelled.","RAILD_V2_010","upadacitinib","upadacitinib","drug","A","A_treatment_context","treatment_context","JAK_inhibitor","specific","treatment_context","treatment_context","False","False","clinically_or_biologically_interpretable; abstract_regex_qc_passed","Treatment-context term: abstract-level text may reflect antecedent exposure, treatment selection after ILD worsening, or post-outcome management; not interpreted as causal drug risk or treatment effect.","inline_flags_normalized",1,0.07,"40863428"
